#  Table all_hrc_june03.fits[1]  Thu 15:22:37 12-Jun-2003

#      WAVELENGTH           F220W           F250W           F330W           F435W           F475W           F550M           F555W           F606W           F625W           F775W           F814W          F850LP

           1560.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1561.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1561.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1562.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1562.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1563.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1563.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1564.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1564.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1565.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1565.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1566.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1566.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1567.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1567.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1568.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1568.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1569.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1569.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1570.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1570.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1571.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1571.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1572.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1572.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1573.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1573.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1574.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1574.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1575.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1575.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1576.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1576.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1577.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1577.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1578.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1578.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1579.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1579.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1580.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1580.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1581.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1581.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1582.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1582.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1583.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1583.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1584.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1584.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1585.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1585.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1586.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1586.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1587.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1587.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1588.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1588.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1589.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1589.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1590.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1590.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1591.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1591.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1592.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1592.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1593.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1593.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1594.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1594.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1595.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1595.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1596.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1596.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1597.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1597.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1598.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1598.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1599.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1599.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1600.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1600.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1601.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1601.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1602.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1602.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1603.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1603.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1604.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1604.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1605.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1605.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1606.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
           1606.5              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
            1607.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.              0.
